Name,JIF,Category,Keywords,Publisher
Revista Educaonline,0.1,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,"['Revista', 'Educaonline', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q4|699/756']",Pontificia Universidad Javeriana
Revista General del Derecho del Trabajo y de la Seguridad Social,0.1,LAW|Q4|365/421,"['Revista', 'General', 'del', 'Derecho', 'del', 'Trabajo', 'y', 'de', 'la', 'Seguridad', 'Social', 'LAW|Q4|365/421']",Universidad Complutense De Madrid
Revista Innovaciencia,0.1,MULTIDISCIPLINARY SCIENCES|Q4|122/134,"['Revista', 'Innovaciencia', 'MULTIDISCIPLINARY', 'SCIENCES|Q4|122/134']",Escuela Superior Politecnica De Chimborazo
Revista Latinoamericana de Hipertension,0.1,PERIPHERAL VASCULAR DISEASE|Q4|95/96,"['Revista', 'Latinoamericana', 'de', 'Hipertension', 'PERIPHERAL', 'VASCULAR', 'DISEASE|Q4|95/96']",Sociedad Latinoamericana De Hipertension
Revista Medica del Uruguay,0.1,"MEDICINE, GENERAL & INTERNAL|Q4|300/325","['Revista', 'Medica', 'del', 'Uruguay', 'MEDICINE', 'GENERAL', 'INTERNAL|Q4|300/325']",General & Internal|Q4|300/325 Sindicato Medico Del Uruguay
Riset Geologi dan Pertambangan,0.1,"GEOSCIENCES, MULTIDISCIPLINARY|Q4|252/253","['Riset', 'Geologi', 'dan', 'Pertambangan', 'GEOSCIENCES', 'MULTIDISCIPLINARY|Q4|252/253']",Multidisciplinary|Q4|252/253 Pusat Survei Geologi-Badan Geologi Kementerian Energi Dan Sumber Daya Mineral
RIVISTA DI LETTERATURE MODERNE E COMPARATE,0.1,LITERATURE|N/A|N/A,"['RIVISTA', 'DI', 'LETTERATURE', 'MODERNE', 'E', 'COMPARATE', 'LITERATURE|N/A|N/A']",Bulzoni Editore
S&F-Scienzaefilosofia it,0.1,HISTORY & PHILOSOPHY OF SCIENCE|Q4|96/104,"['S&F-Scienzaefilosofia', 'HISTORY', 'PHILOSOPHY', 'SCIENCE|Q4|96/104']",Universita Degli Studi Di Bari Aldo Moro
Science Diliman,0.1,MULTIDISCIPLINARY SCIENCES|Q4|122/134,"['Science', 'Diliman', 'MULTIDISCIPLINARY', 'SCIENCES|Q4|122/134']",University Of The Philippines Diliman
Studies in Language Assessment,0.1,LINGUISTICS|Q4|278/297,"['Studies', 'Language', 'Assessment', 'LINGUISTICS|Q4|278/297']",University Of Melbourne
Temas y Debates,0.1,POLITICAL SCIENCE|Q4|289/317,"['Temas', 'y', 'Debates', 'POLITICAL', 'SCIENCE|Q4|289/317']",Universidad Nacional De Cordoba
Trans-Revista de Traductologia,0.1,LANGUAGE & LINGUISTICS|N/A|N/A,"['Trans-Revista', 'de', 'Traductologia', 'LANGUAGE', 'LINGUISTICS|N/A|N/A']",Universitat Autonoma De Barcelona
Transfusionsmedizin,0.1,HEMATOLOGY|Q4|94/97,"['Transfusionsmedizin', 'HEMATOLOGY|Q4|94/97']",Georg Thieme Verlag Kg
Turkish Policy Quarterly,0.1,POLITICAL SCIENCE|Q4|289/317,"['Turkish', 'Policy', 'Quarterly', 'POLITICAL', 'SCIENCE|Q4|289/317']",Turkish Policy Quarterly
Tzintzun-Revista de Estudios Historicos,0.1,HISTORY|Q3|327/518,"['Tzintzun-Revista', 'de', 'Estudios', 'Historicos', 'HISTORY|Q3|327/518']",Universidad Michoacana De San Nicolas De Hidalgo
Uroonkoloji Bulteni-Bulletin of Urooncology,0.1,ONCOLOGY|Q4|318/322,"['Uroonkoloji', 'Bulteni-Bulletin', 'Urooncology', 'ONCOLOGY|Q4|318/322']",Turkish Society Of Oncology
Zaporozhye Medical Journal,0.1,"MEDICINE, GENERAL & INTERNAL|Q4|300/325","['Zaporozhye', 'Medical', 'Journal', 'MEDICINE', 'GENERAL', 'INTERNAL|Q4|300/325']",General & Internal|Q4|300/325 Zaporozhye State Medical University
Abakos,0.1,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS|Q4|134/135","['Abakos', 'MATHEMATICS', 'INTERDISCIPLINARY', 'APPLICATIONS|Q4|134/135']",Interdisciplinary Applications|Q4|134/135 Universitat Politecnica De Catalunya
Actualidad Contable Faces,0.1,"BUSINESS, FINANCE|Q4|223/231","['Actualidad', 'Contable', 'Faces', 'BUSINESS', 'FINANCE|Q4|223/231']",Finance|Q4|223/231 Universidad De Carabobo
Anacronismo e Irrupcion,0.1,POLITICAL SCIENCE|Q4|289/317,"['Anacronismo', 'e', 'Irrupcion', 'POLITICAL', 'SCIENCE|Q4|289/317']",Universidad Nacional De Cuyo
Anadolu Universitesi Sanat & Tasarim Dergisi-Anadolu University Journal of Art & Design,0.1,ART|N/A|N/A,"['Anadolu', 'Universitesi', 'Sanat', 'Tasarim', 'Dergisi-Anadolu', 'University', 'Journal', 'Art', 'Design', 'ART|N/A|N/A']",Anadolu University
Anales del Instituto de Actuarios Espanoles,0.1,ECONOMICS|Q4|585/597,"['Anales', 'del', 'Instituto', 'de', 'Actuarios', 'Espanoles', 'ECONOMICS|Q4|585/597']",Instituto De Actuarios Espanoles
Anuario Iberoamericano de Derecho Internacional Penal,0.1,LAW|Q4|365/421,"['Anuario', 'Iberoamericano', 'de', 'Derecho', 'Internacional', 'Penal', 'LAW|Q4|365/421']",Universidad De Malaga
ArcHistoR-Architecture History Restoration,0.1,ARCHITECTURE|N/A|N/A,"['ArcHistoR-Architecture', 'History', 'Restoration', 'ARCHITECTURE|N/A|N/A']",University Of Belgrade Faculty Of Architecture
Asian Case Research Journal,0.1,BUSINESS|Q4|295/302,"['Asian', 'Case', 'Research', 'Journal', 'BUSINESS|Q4|295/302']",World Scientific Publishing Co Pte Ltd
Atenas,0.1,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,"['Atenas', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q4|699/756']",Universidad De Manizales
BETRIEBSWIRTSCHAFTLICHE FORSCHUNG UND PRAXIS,0.1,MANAGEMENT|Q4|392/401,"['BETRIEBSWIRTSCHAFTLICHE', 'FORSCHUNG', 'UND', 'PRAXIS', 'MANAGEMENT|Q4|392/401']",Gabler Verlag
Bibliofilia,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['Bibliofilia', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary|N/A|N/A Olschki
BIOLOGICHESKIE MEMBRANY,0.1,CELL BIOLOGY|Q4|205/205,"['BIOLOGICHESKIE', 'MEMBRANY', 'CELL', 'BIOLOGY|Q4|205/205']",Pleiades Publishing
Biuletyn Wydzialu Farmaceutycznego Warszawskiego Uniwersytetu Medycznego,0.1,PHARMACOLOGY & PHARMACY|Q4|352/354,"['Biuletyn', 'Wydzialu', 'Farmaceutycznego', 'Warszawskiego', 'Uniwersytetu', 'Medycznego', 'PHARMACOLOGY', 'PHARMACY|Q4|352/354']",Medical University Of Warsaw
Boletin Antropologico,0.1,ANTHROPOLOGY|Q4|131/139,"['Boletin', 'Antropologico', 'ANTHROPOLOGY|Q4|131/139']",Universidad De Los Andes
Bulletin of the European Association for Theoretical Computer Science,0.1,"COMPUTER SCIENCE, THEORY & METHODS|Q4|142/143","['Bulletin', 'European', 'Association', 'Theoretical', 'Computer', 'Science', 'COMPUTER', 'SCIENCE', 'THEORY', 'METHODS|Q4|142/143']",Theory & Methods|Q4|142/143 European Association For Theoretical Computer Science
Ciencia Juridica,0.1,LAW|Q4|365/421,"['Ciencia', 'Juridica', 'LAW|Q4|365/421']",Universidad De Tarapaca
Cuadernos del CLAEH-Centro Latinoamericano de Economia Humana,0.1,ECONOMICS|Q4|585/597,"['Cuadernos', 'del', 'CLAEH-Centro', 'Latinoamericano', 'de', 'Economia', 'Humana', 'ECONOMICS|Q4|585/597']",Centro Latinoamericano De Economia Humana
Cultura Cientifica,0.1,MULTIDISCIPLINARY SCIENCES|Q4|122/134,"['Cultura', 'Cientifica', 'MULTIDISCIPLINARY', 'SCIENCES|Q4|122/134']",Universidad Nacional Autonoma De Mexico
Cultura y Droga,0.1,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q4|235/263","['Cultura', 'y', 'Droga', 'SOCIAL', 'SCIENCES', 'INTERDISCIPLINARY|Q4|235/263']",Interdisciplinary|Q4|235/263 Fundacion De Ayuda Contra La Drogadiccion
Educacao por Escrito,0.1,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,"['Educacao', 'por', 'Escrito', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q4|699/756']",Universidade Do Minho
Egyptian Journal of Haematology,0.1,HEMATOLOGY|Q4|94/97,"['Egyptian', 'Journal', 'Haematology', 'HEMATOLOGY|Q4|94/97']",Springeropen
Eleuthera,0.1,SOCIAL WORK|Q4|90/91,"['Eleuthera', 'SOCIAL', 'WORK|Q4|90/91']",Universidade Catolica Portuguesa
Entorno Geografico,0.1,GEOGRAPHY|Q4|155/171,"['Entorno', 'Geografico', 'GEOGRAPHY|Q4|155/171']",Universidad De Malaga
Espace Politique,0.1,GEOGRAPHY|Q4|155/171,"['Espace', 'Politique', 'GEOGRAPHY|Q4|155/171']",Presses Universitaires De Rennes
Estudios Socioterritoriales,0.1,GEOGRAPHY|Q4|155/171,"['Estudios', 'Socioterritoriales', 'GEOGRAPHY|Q4|155/171']",Universidad Nacional De La Plata
FOOD TECHNOLOGY,0.1,FOOD SCIENCE & TECHNOLOGY|Q4|172/173,"['FOOD', 'TECHNOLOGY', 'FOOD', 'SCIENCE', 'TECHNOLOGY|Q4|172/173']",Centrum Badan I Rozwoju Mleczarstwa-Dairy Research Institute
Geo UERJ,0.1,GEOGRAPHY|Q4|155/171,"['Geo', 'UERJ', 'GEOGRAPHY|Q4|155/171']",Universidade Do Estado Do Rio De Janeiro
GEOgraphia-UFF,0.1,GEOGRAPHY|Q4|155/171,"['GEOgraphia-UFF', 'GEOGRAPHY|Q4|155/171']",Universidade Federal Fluminense
Gynakologische Endokrinologie,0.1,ENDOCRINOLOGY & METABOLISM|Q4|183/186,"['Gynakologische', 'Endokrinologie', 'ENDOCRINOLOGY', 'METABOLISM|Q4|183/186']",Elsevier
Heterocyclic Letters,0.1,"CHEMISTRY, ORGANIC|Q4|58/58","['Heterocyclic', 'Letters', 'CHEMISTRY', 'ORGANIC|Q4|58/58']",Organic|Q4|58/58 Walter De Gruyter Gmbh
Imagen Diagnostica,0.1,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q4|201/204","['Imagen', 'Diagnostica', 'RADIOLOGY', 'NUCLEAR', 'MEDICINE', 'MEDICAL', 'IMAGING|Q4|201/204']",Nuclear Medicine & Medical Imaging|Q4|201/204 Universidad Peruana Cayetano Heredia
InterCambios-Dilemas y transiciones de la Educacion Superior,0.1,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,"['InterCambios-Dilemas', 'y', 'transiciones', 'de', 'la', 'Educacion', 'Superior', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q4|699/756']",Universidad Autonoma Del Estado De Mexico
INVESTIGACION CLINICA,0.1,"MEDICINE, RESEARCH & EXPERIMENTAL|Q4|185/189","['INVESTIGACION', 'CLINICA', 'MEDICINE', 'RESEARCH', 'EXPERIMENTAL|Q4|185/189']",Research & Experimental|Q4|185/189 Universidad De Los Andes
Journal of Active and Passive Electronic Devices,0.1,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q4|352/352","['Journal', 'Active', 'Passive', 'Electronic', 'Devices', 'ENGINEERING', 'ELECTRICAL', 'ELECTRONIC|Q4|352/352']",Electrical & Electronic|Q4|352/352 National Technical University Of Ukraine Igor Sikorsky Kyiv Polytechnic Institute
Journal of Computer Chemistry-Japan,0.1,"CHEMISTRY, MULTIDISCIPLINARY|Q4|230/230","['Journal', 'Computer', 'Chemistry-Japan', 'CHEMISTRY', 'MULTIDISCIPLINARY|Q4|230/230']",Multidisciplinary|Q4|230/230 Society Of Computer Chemistry Japan
Kuwait Medical Journal,0.1,"MEDICINE, GENERAL & INTERNAL|Q4|300/325","['Kuwait', 'Medical', 'Journal', 'MEDICINE', 'GENERAL', 'INTERNAL|Q4|300/325']",General & Internal|Q4|300/325 Kuwait Medical Association
Lumen-Eighteenth-Century Studies-d Etude du Dix-Huitieme,0.1,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,"['Lumen-Eighteenth-Century', 'Studies-d', 'Etude', 'du', 'Dix-Huitieme', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q4|699/756']",Societe Canadienne D Etude Du Dix-Huitieme Siecle
Maliye Dergisi,0.1,"BUSINESS, FINANCE|Q4|223/231","['Maliye', 'Dergisi', 'BUSINESS', 'FINANCE|Q4|223/231']",Finance|Q4|223/231 Ministry Of Treasury And Finance
Mexico y la Cuenca del Pacifico,0.1,INTERNATIONAL RELATIONS|Q4|161/165,"['Mexico', 'y', 'la', 'Cuenca', 'del', 'Pacifico', 'INTERNATIONAL', 'RELATIONS|Q4|161/165']",Universidad Nacional Autonoma De Mexico
Nodo,0.1,URBAN STUDIES|Q4|72/77,"['Nodo', 'URBAN', 'STUDIES|Q4|72/77']",Universidad Del Norte
Onkologija,0.1,ONCOLOGY|Q4|318/322,"['Onkologija', 'ONCOLOGY|Q4|318/322']",Institute Of Oncology Sremska Kamenica
Onkourologiya,0.1,ONCOLOGY|Q4|318/322,"['Onkourologiya', 'ONCOLOGY|Q4|318/322']",National Cancer Institute
Pacific Business Review International,0.1,BUSINESS|Q4|295/302,"['Pacific', 'Business', 'Review', 'International', 'BUSINESS|Q4|295/302']",Pacific Business Review International
Perspectivas em Dialogo-Revista de Educacao e Sociedade,0.1,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,"['Perspectivas', 'em', 'Dialogo-Revista', 'de', 'Educacao', 'e', 'Sociedade', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q4|699/756']",Universidade Federal Do Rio Grande Do Sul
PHILOSOPHISCHE RUNDSCHAU,0.1,PHILOSOPHY|N/A|N/A,"['PHILOSOPHISCHE', 'RUNDSCHAU', 'PHILOSOPHY|N/A|N/A']",Mohr Siebeck
Proceedings of the Tula States University-Sciences of Earth,0.1,"GEOSCIENCES, MULTIDISCIPLINARY|Q4|252/253","['Proceedings', 'Tula', 'States', 'University-Sciences', 'Earth', 'GEOSCIENCES', 'MULTIDISCIPLINARY|Q4|252/253']",Multidisciplinary|Q4|252/253 Tula State University
PSYCHIATRIE DE L ENFANT,0.1,PSYCHIATRY|Q4|273/276,"['PSYCHIATRIE', 'DE', 'L', 'ENFANT', 'PSYCHIATRY|Q4|273/276']",Presses Universitaires De France
ReS Futurae-Revue d Etudes sur la Science-Fiction,0.1,LITERATURE|N/A|N/A,"['ReS', 'Futurae-Revue', 'd', 'Etudes', 'sur', 'la', 'Science-Fiction', 'LITERATURE|N/A|N/A']",Presses Universitaires De Bordeaux
Revista Cientifica da Faculdade de Educacao e Meio Ambiente,0.1,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q4|235/263","['Revista', 'Cientifica', 'da', 'Faculdade', 'de', 'Educacao', 'e', 'Meio', 'Ambiente', 'SOCIAL', 'SCIENCES', 'INTERDISCIPLINARY|Q4|235/263']",Interdisciplinary|Q4|235/263 Faema
Revista Contemporanea de Educacao,0.1,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,"['Revista', 'Contemporanea', 'de', 'Educacao', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q4|699/756']",Universidade Federal De Santa Catarina
Revista de Direito da Cidade-City Law,0.1,URBAN STUDIES|Q4|72/77,"['Revista', 'de', 'Direito', 'da', 'Cidade-City', 'Law', 'URBAN', 'STUDIES|Q4|72/77']",Forum De Direito Urbano
Revista de Estudios Regionales,0.1,ENVIRONMENTAL STUDIES|Q4|180/182,"['Revista', 'de', 'Estudios', 'Regionales', 'ENVIRONMENTAL', 'STUDIES|Q4|180/182']",Universidad De Malaga
Revista de la Federacion Argentina de Cardiologia,0.1,CARDIAC & CARDIOVASCULAR SYSTEMS|Q4|211/220,"['Revista', 'de', 'la', 'Federacion', 'Argentina', 'de', 'Cardiologia', 'CARDIAC', 'CARDIOVASCULAR', 'SYSTEMS|Q4|211/220']",Federacion Argentina De Cardiologia
Revista General de Derecho Publico Comparado,0.1,LAW|Q4|365/421,"['Revista', 'General', 'de', 'Derecho', 'Publico', 'Comparado', 'LAW|Q4|365/421']",Universidad Nacional Autonoma De Mexico
Revista Letras,0.1,LANGUAGE & LINGUISTICS|N/A|N/A,"['Revista', 'Letras', 'LANGUAGE', 'LINGUISTICS|N/A|N/A']",Universidade Federal De Santa Maria
Revista Rol de Enfermeria,0.1,NURSING|Q4|189/191,"['Revista', 'Rol', 'de', 'Enfermeria', 'NURSING|Q4|189/191']",Universidad De Alicante
Revista Rupturas,0.1,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q4|235/263","['Revista', 'Rupturas', 'SOCIAL', 'SCIENCES', 'INTERDISCIPLINARY|Q4|235/263']",Universidad Del Rosario
Romanian Journal of Political Science,0.1,POLITICAL SCIENCE|Q4|289/317,"['Romanian', 'Journal', 'Political', 'Science', 'POLITICAL', 'SCIENCE|Q4|289/317']",Editura Universitatii Din Bucuresti
Romanian Journal of Transport Infrastructure,0.1,"ENGINEERING, CIVIL|Q4|178/181","['Romanian', 'Journal', 'Transport', 'Infrastructure', 'ENGINEERING', 'CIVIL|Q4|178/181']",Technical University Of Civil Engineering Bucharest
Russian Journal of Building Construction and Architecture,0.1,CONSTRUCTION & BUILDING TECHNOLOGY|Q4|89/91,"['Russian', 'Journal', 'Building', 'Construction', 'Architecture', 'CONSTRUCTION', 'BUILDING', 'TECHNOLOGY|Q4|89/91']",Peoples Friendship University Of Russia Rudn University
Sistemas & Gestao,0.1,MANAGEMENT|Q4|392/401,"['Sistemas', 'Gestao', 'MANAGEMENT|Q4|392/401']",Fundacao Getulio Vargas
Tecnologia en Marcha,0.1,MULTIDISCIPLINARY SCIENCES|Q4|122/134,"['Tecnologia', 'en', 'Marcha', 'MULTIDISCIPLINARY', 'SCIENCES|Q4|122/134']",Instituto Tecnologico De Costa Rica
Teoria e Pratica em Administracao-TPA,0.1,MANAGEMENT|Q4|392/401,"['Teoria', 'e', 'Pratica', 'em', 'Administracao-TPA', 'MANAGEMENT|Q4|392/401']",Fundacao Getulio Vargas
Torre del Virrey-Revista de Estudios Culturales,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['Torre', 'del', 'Virrey-Revista', 'de', 'Estudios', 'Culturales', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary|N/A|N/A Universidad Nacional Federico Villarreal
Universitas Medica,0.1,"MEDICINE, GENERAL & INTERNAL|Q4|300/325","['Universitas', 'Medica', 'MEDICINE', 'GENERAL', 'INTERNAL|Q4|300/325']",General & Internal|Q4|300/325 Pontificia Universidad Javeriana
Verbum,0.1,"LITERATURE, ROMANCE|N/A|N/A","['Verbum', 'LITERATURE', 'ROMANCE|N/A|N/A']",Romance|N/A|N/A Universidad De La Rioja
Zeitschrift fur Herz Thorax und Gefasschirurgie,0.1,CARDIAC & CARDIOVASCULAR SYSTEMS|Q4|211/220,"['Zeitschrift', 'fur', 'Herz', 'Thorax', 'und', 'Gefasschirurgie', 'CARDIAC', 'CARDIOVASCULAR', 'SYSTEMS|Q4|211/220']",Georg Thieme Verlag Kg
ACTA ANAESTHESIOLOGICA BELGICA,0.1,ANESTHESIOLOGY|Q4|61/64,"['ACTA', 'ANAESTHESIOLOGICA', 'BELGICA', 'ANESTHESIOLOGY|Q4|61/64']",Belgian Society Of Anaesthesiology
Actualidades Pedagogicas,0.1,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,"['Actualidades', 'Pedagogicas', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q4|699/756']",Universidad De San Buenaventura
Angiologia,0.1,PERIPHERAL VASCULAR DISEASE|Q4|95/96,"['Angiologia', 'PERIPHERAL', 'VASCULAR', 'DISEASE|Q4|95/96']",Elsevier Doyma
ARQUIVOS BRASILEROS DE PSICOLOGIA,0.1,"PSYCHOLOGY, MULTIDISCIPLINARY|Q4|212/218","['ARQUIVOS', 'BRASILEROS', 'DE', 'PSICOLOGIA', 'PSYCHOLOGY', 'MULTIDISCIPLINARY|Q4|212/218']",Multidisciplinary|Q4|212/218 Instituto De Psicologia Universidade Federal Do Rio De Janeiro
Biblio 3W-Barcelona,0.1,GEOGRAPHY|Q4|155/171,"['Biblio', '3W-Barcelona', 'GEOGRAPHY|Q4|155/171']",Universitat De Barcelona
Boletin del grupo espanol del carbon,0.1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q4|438/438","['Boletin', 'del', 'grupo', 'espanol', 'del', 'carbon', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q4|438/438']",Multidisciplinary|Q4|438/438 Grupo Espanol Del Carbon
British Journalism Review,0.1,COMMUNICATION|Q4|217/227,"['British', 'Journalism', 'Review', 'COMMUNICATION|Q4|217/227']",Routledge
Calidad de Vida y Salud,0.1,"PSYCHOLOGY, MULTIDISCIPLINARY|Q4|212/218","['Calidad', 'de', 'Vida', 'y', 'Salud', 'PSYCHOLOGY', 'MULTIDISCIPLINARY|Q4|212/218']",Multidisciplinary|Q4|212/218 Universidad De Caldas
Cimexus,0.1,POLITICAL SCIENCE|Q4|289/317,"['Cimexus', 'POLITICAL', 'SCIENCE|Q4|289/317']",Universidad De Sonora
Circuit,0.1,MUSIC|N/A|N/A,"['Circuit', 'MUSIC|N/A|N/A']",Leonardo Music Journal
Confins-Revue Franco-Bresilienne de Geographie-Revista Franco-Brasileira de Geografia,0.1,GEOGRAPHY|Q4|155/171,"['Confins-Revue', 'Franco-Bresilienne', 'de', 'Geographie-Revista', 'Franco-Brasileira', 'de', 'Geografia', 'GEOGRAPHY|Q4|155/171']",Universite Paris Diderot Paris 7
Cuadernos del CIMBAGE,0.1,"SOCIAL SCIENCES, MATHEMATICAL METHODS|Q4|67/67","['Cuadernos', 'del', 'CIMBAGE', 'SOCIAL', 'SCIENCES', 'MATHEMATICAL', 'METHODS|Q4|67/67']",Mathematical Methods|Q4|67/67 Universidad De Buenos Aires
Cuestiones de Sociologia,0.1,SOCIOLOGY|Q4|210/217,"['Cuestiones', 'de', 'Sociologia', 'SOCIOLOGY|Q4|210/217']",Universidad Nacional De Rosario
Debate Universitario,0.1,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,"['Debate', 'Universitario', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q4|699/756']",Universidad Nacional Mayor De San Marcos
Eptic,0.1,ECONOMICS|Q4|585/597,"['Eptic', 'ECONOMICS|Q4|585/597']",Universidade Do Porto
Euskera,0.1,LANGUAGE & LINGUISTICS|N/A|N/A,"['Euskera', 'LANGUAGE', 'LINGUISTICS|N/A|N/A']",Euskaltzaindia
Geografares,0.1,GEOGRAPHY|Q4|155/171,"['Geografares', 'GEOGRAPHY|Q4|155/171']",Universidade Nova De Lisboa
GIM International-The Worldwide Magazine for Geomatics,0.1,REMOTE SENSING|Q4|61/62,"['GIM', 'International-The', 'Worldwide', 'Magazine', 'Geomatics', 'REMOTE', 'SENSING|Q4|61/62']",Geomares Publishing
Hematologie,0.1,HEMATOLOGY|Q4|94/97,"['Hematologie', 'HEMATOLOGY|Q4|94/97']",Urban & Fischer Verlag
Historia e Cultura,0.1,HISTORY|Q3|327/518,"['Historia', 'e', 'Cultura', 'HISTORY|Q3|327/518']",Centro De Historia Da Universidade De Lisboa
History of Economic Thought and Policy,0.1,ECONOMICS|Q4|585/597,"['History', 'Economic', 'Thought', 'Policy', 'ECONOMICS|Q4|585/597']",Sciendo
Ingineria Automobilului,0.1,"ENGINEERING, MECHANICAL|Q4|178/180","['Ingineria', 'Automobilului', 'ENGINEERING', 'MECHANICAL|Q4|178/180']",Mechanical|Q4|178/180 Universitatea Transilvania Din Brasov
Innovacion Educativa-Mexico,0.1,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,"['Innovacion', 'Educativa-Mexico', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q4|699/756']",Instituto Politecnico Nacional
Journal of the Pancreas,0.1,GASTROENTEROLOGY & HEPATOLOGY|Q4|142/143,"['Journal', 'Pancreas', 'GASTROENTEROLOGY', 'HEPATOLOGY|Q4|142/143']",Società Italiana Di Chirurgia
McGill Journal of Education,0.1,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,"['McGill', 'Journal', 'Education', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q4|699/756']",Mcgill University
Moenia-Revista Lucense de Linguistica & Literatura,0.1,LANGUAGE & LINGUISTICS|N/A|N/A,"['Moenia-Revista', 'Lucense', 'de', 'Linguistica', 'Literatura', 'LANGUAGE', 'LINGUISTICS|N/A|N/A']",Universidade De Santiago De Compostela
Navus-Revista de Gestao e Tecnologia,0.1,MANAGEMENT|Q4|392/401,"['Navus-Revista', 'de', 'Gestao', 'e', 'Tecnologia', 'MANAGEMENT|Q4|392/401']",Universidade Federal Fluminense
Neurosonology and Cerebral Hemodynamics,0.1,NEUROSCIENCES|Q4|309/310,"['Neurosonology', 'Cerebral', 'Hemodynamics', 'NEUROSCIENCES|Q4|309/310']",Springer
Papeles de Trabajo,0.1,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q4|235/263","['Papeles', 'de', 'Trabajo', 'SOCIAL', 'SCIENCES', 'INTERDISCIPLINARY|Q4|235/263']",Interdisciplinary|Q4|235/263 Universidad Nacional De Rosario
Politix,0.1,POLITICAL SCIENCE|Q4|289/317,"['Politix', 'POLITICAL', 'SCIENCE|Q4|289/317']",Presses Universitaires De France
Portes-Revista Mexicana de Estudios sobre la Cuenca del Pacifico,0.1,ECONOMICS|Q4|585/597,"['Portes-Revista', 'Mexicana', 'de', 'Estudios', 'sobre', 'la', 'Cuenca', 'del', 'Pacifico', 'ECONOMICS|Q4|585/597']",Universidad De Guadalajara
Punto Genero,0.1,SOCIAL ISSUES|Q4|64/67,"['Punto', 'Genero', 'SOCIAL', 'ISSUES|Q4|64/67']",Universidad De Los Andes
Question,0.1,COMMUNICATION|Q4|217/227,"['Question', 'COMMUNICATION|Q4|217/227']",Intellect
RBONE-Revista Brasileira de Obesidade Nutricao e Emagrecimento,0.1,NUTRITION & DIETETICS|Q4|112/114,"['RBONE-Revista', 'Brasileira', 'de', 'Obesidade', 'Nutricao', 'e', 'Emagrecimento', 'NUTRITION', 'DIETETICS|Q4|112/114']",Instituto Brasileiro De Pesquisa E Ensino Em Fisiologia Do Exercicio Ibpefex
Revista de Sociedad Gaditana de Historia Natural,0.1,ENVIRONMENTAL SCIENCES|Q4|356/358,"['Revista', 'de', 'Sociedad', 'Gaditana', 'de', 'Historia', 'Natural', 'ENVIRONMENTAL', 'SCIENCES|Q4|356/358']",Sociedad Gaditana De Historia Natural
Revista Ecorfan,0.1,BUSINESS|Q4|295/302,"['Revista', 'Ecorfan', 'BUSINESS|Q4|295/302']",Ediciones Ecorfan
Revista Formacao Online,0.1,GEOGRAPHY|Q4|155/171,"['Revista', 'Formacao', 'Online', 'GEOGRAPHY|Q4|155/171']",Universidade Do Estado De Mato Grosso
Revista General de Derecho Penal,0.1,LAW|Q4|365/421,"['Revista', 'General', 'de', 'Derecho', 'Penal', 'LAW|Q4|365/421']",Universidad De Costa Rica
