Name,JIF,Category,Keywords,Publisher,Decsion Time
ZEITSCHRIFT FUR HISTORISCHE FORSCHUNG,0.1,HISTORY|Q3|327/518,"['ZEITSCHRIFT', 'FUR', 'HISTORISCHE', 'FORSCHUNG', 'HISTORY|Q3|327/518']",Duncker & Humblot,90
Acta Philosophica,0.1,PHILOSOPHY|N/A|N/A,"['Acta', 'Philosophica', 'PHILOSOPHY|N/A|N/A']",Pontificia Universita Della Santa Croce,30
Ajalooline Ajakiri-The Estonian Historical Journal,0.1,HISTORY|Q3|327/518,"['Ajalooline', 'Ajakiri-The', 'Estonian', 'Historical', 'Journal', 'HISTORY|Q3|327/518']",Estonian Academy Publishers,30
Allgemeine Zeitschrift fur Philosophie,0.1,PHILOSOPHY|N/A|N/A,"['Allgemeine', 'Zeitschrift', 'fur', 'Philosophie', 'PHILOSOPHY|N/A|N/A']",Universitatsverlag Winter Gmbh,30
Bulletin KNOB,0.1,ARCHITECTURE|N/A|N/A,"['Bulletin', 'KNOB', 'ARCHITECTURE|N/A|N/A']",Koninklijke Nederlandse Oudheidkundige Bond,30
Canadian Journal of Women and the Law,0.1,LAW|Q4|365/421,"['Canadian', 'Journal', 'Women', 'Law', 'LAW|Q4|365/421']",University Of Toronto Press,60
Dialectologia et Geolinguistica,0.1,LINGUISTICS|Q4|278/297,"['Dialectologia', 'et', 'Geolinguistica', 'LINGUISTICS|Q4|278/297']",Universitat De Barcelona,60
Foro Educacional,0.1,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,"['Foro', 'Educacional', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q4|699/756']",Universidad De Concepcion,30
Historia 396,0.1,HISTORY|Q3|327/518,"['Historia', '396', 'HISTORY|Q3|327/518']",Universidad Diego Portales,396
Journal of Historic Buildings and Places,0.1,ARCHITECTURE|N/A|N/A,"['Journal', 'Historic', 'Buildings', 'Places', 'ARCHITECTURE|N/A|N/A']",Routledge,90
MEDICINE AND LAW,0.1,LAW|Q4|365/421,"['MEDICINE', 'LAW', 'LAW|Q4|365/421']",Informa Uk Limited,14
MUSICAL TIMES,0.1,MUSIC|N/A|N/A,"['MUSICAL', 'TIMES', 'MUSIC|N/A|N/A']",Rhinegold Publishing Ltd,90
PHYSICS IN PERSPECTIVE,0.1,HISTORY & PHILOSOPHY OF SCIENCE|Q4|96/104,"['PHYSICS', 'PERSPECTIVE', 'HISTORY', 'PHILOSOPHY', 'SCIENCE|Q4|96/104']",Birkhauser Verlag Ag,30
REVUE D HISTOIRE MODERNE ET CONTEMPORAINE,0.1,HISTORY|Q3|327/518,"['REVUE', 'D', 'HISTOIRE', 'MODERNE', 'ET', 'CONTEMPORAINE', 'HISTORY|Q3|327/518']",Presses Universitaires De France,60
Rhizomata-A Journal for Ancient Philosophy and Science,0.1,PHILOSOPHY|N/A|N/A,"['Rhizomata-A', 'Journal', 'Ancient', 'Philosophy', 'Science', 'PHILOSOPHY|N/A|N/A']",Wiley,60
Women and Music-A Journal of Gender and Culture,0.1,WOMENS STUDIES|Q4|63/66,"['Women', 'Music-A', 'Journal', 'Gender', 'Culture', 'WOMENS', 'STUDIES|Q4|63/66']",University Of Nebraska Press,60
AEVUM-RASSEGNA DI SCIENZE STORICHE LINGUISTICHE E FILOLOGICHE,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['AEVUM-RASSEGNA', 'DI', 'SCIENZE', 'STORICHE', 'LINGUISTICHE', 'E', 'FILOLOGICHE', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,90
Balkanistic Forum,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['Balkanistic', 'Forum', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,30
Boletin de Arte-UMA,0.1,ART|N/A|N/A,"['Boletin', 'de', 'Arte-UMA', 'ART|N/A|N/A']",Universidad De Malaga,90
Bruno Pini Mathematical Analysis Seminar,0.1,MATHEMATICS|Q4|482/489,"['Bruno', 'Pini', 'Mathematical', 'Analysis', 'Seminar', 'MATHEMATICS|Q4|482/489']",University Of Bologna,30
Bulletin of the John Rylands Library,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['Bulletin', 'John', 'Rylands', 'Library', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,90
Canadian Political Science Review,0.1,POLITICAL SCIENCE|Q4|289/317,"['Canadian', 'Political', 'Science', 'Review', 'POLITICAL', 'SCIENCE|Q4|289/317']",Cambridge University Press,60
Cartagine-Studi e Ricerche,0.1,ARCHAEOLOGY|N/A|N/A,"['Cartagine-Studi', 'e', 'Ricerche', 'ARCHAEOLOGY|N/A|N/A']",Universita Degli Studi Di Sassari,90
Colloquia Humanistica,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['Colloquia', 'Humanistica', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,30
Dialog so Vremenem-Dialogue with Time,0.1,HISTORY|Q3|327/518,"['Dialog', 'so', 'Vremenem-Dialogue', 'Time', 'HISTORY|Q3|327/518']",National Research University Higher School Of Economics,30
English Text Construction,0.1,LANGUAGE & LINGUISTICS|N/A|N/A,"['English', 'Text', 'Construction', 'LANGUAGE', 'LINGUISTICS|N/A|N/A']",John Benjamins Publishing Company,30
Espiritu,0.1,PHILOSOPHY|N/A|N/A,"['Espiritu', 'PHILOSOPHY|N/A|N/A']",Universidad De Navarra,30
Estudios de Linguistica-Universidad de Alicante-ELUA,0.1,LANGUAGE & LINGUISTICS|N/A|N/A,"['Estudios', 'de', 'Linguistica-Universidad', 'de', 'Alicante-ELUA', 'LANGUAGE', 'LINGUISTICS|N/A|N/A']",Universidad De Alicante,30
Europolity-Continuity and Change in European Governance,0.1,AREA STUDIES|Q4|154/176,"['Europolity-Continuity', 'Change', 'European', 'Governance', 'AREA', 'STUDIES|Q4|154/176']",Nomos Verlagsgesellschaft Mbh & Co. Kg,30
HISTORISCHES JAHRBUCH,0.1,HISTORY|Q3|327/518,"['HISTORISCHES', 'JAHRBUCH', 'HISTORY|Q3|327/518']",Verlag Karl Alber,90
Hong Kong Journal of Paediatrics,0.1,PEDIATRICS|Q4|179/186,"['Hong', 'Kong', 'Journal', 'Paediatrics', 'PEDIATRICS|Q4|179/186']",Hong Kong College Of Paediatricians,60
INDEX ON CENSORSHIP,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['INDEX', 'CENSORSHIP', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Sage Publications,90
International Journal of Applied Nonlinear Science,0.1,"MATHEMATICS, APPLIED|Q4|329/331","['International', 'Journal', 'Applied', 'Nonlinear', 'Science', 'MATHEMATICS', 'APPLIED|Q4|329/331']",Applied,30
Kratkie Soobshcheniya Instituta Arkheologii,0.1,ARCHAEOLOGY|N/A|N/A,"['Kratkie', 'Soobshcheniya', 'Instituta', 'Arkheologii', 'ARCHAEOLOGY|N/A|N/A']",Nauka,90
Kritike-An Online Journal of Philosophy,0.1,PHILOSOPHY|N/A|N/A,"['Kritike-An', 'Online', 'Journal', 'Philosophy', 'PHILOSOPHY|N/A|N/A']",Philpapers Foundation,90
LATIN AMERICAN THEATRE REVIEW,0.1,THEATER|N/A|N/A,"['LATIN', 'AMERICAN', 'THEATRE', 'REVIEW', 'THEATER|N/A|N/A']",University Of Kansas,90
Matraga-Estudos Linguisticos e Literario,0.1,LITERATURE|N/A|N/A,"['Matraga-Estudos', 'Linguisticos', 'e', 'Literario', 'LITERATURE|N/A|N/A']",Universidade Federal De Pernambuco,90
Mundo Amazonico,0.1,AREA STUDIES|Q4|154/176,"['Mundo', 'Amazonico', 'AREA', 'STUDIES|Q4|154/176']",Instituto De Investigaciones De La Amazonia Peruana,30
Neotestamentica,0.1,RELIGION|N/A|N/A,"['Neotestamentica', 'RELIGION|N/A|N/A']",New Testament Society Of South Africa,30
Palabra,0.1,LITERATURE|N/A|N/A,"['Palabra', 'LITERATURE|N/A|N/A']",Universidad Catolica De Chile,90
Review of Korean Studies,0.1,ASIAN STUDIES|N/A|N/A,"['Review', 'Korean', 'Studies', 'ASIAN', 'STUDIES|N/A|N/A']",Academy Of Korean Studies,30
Simplegadi,0.1,LITERATURE|N/A|N/A,"['Simplegadi', 'LITERATURE|N/A|N/A']",Universidade Federal Fluminense,30
STUDIES IN THE HISTORY OF GARDENS & DESIGNED LANDSCAPES,0.1,ARCHITECTURE|N/A|N/A,"['STUDIES', 'HISTORY', 'GARDENS', 'DESIGNED', 'LANDSCAPES', 'ARCHITECTURE|N/A|N/A']",Taylor & Francis,45
452 F-Revista de Teoria de la Literatura y Literatura Comparada,0.1,LITERATURE|N/A|N/A,"['452', 'F-Revista', 'de', 'Teoria', 'de', 'la', 'Literatura', 'y', 'Literatura', 'Comparada', 'LITERATURE|N/A|N/A']",Universidad De Alicante,452
Annales Francaises de Medecine d Urgence,0.1,EMERGENCY MEDICINE|Q4|52/54,"['Annales', 'Francaises', 'de', 'Medecine', 'd', 'Urgence', 'EMERGENCY', 'MEDICINE|Q4|52/54']",Elsevier,30
ANTIQVORVM PHILOSOPHIA-An International journal,0.1,PHILOSOPHY|N/A|N/A,"['ANTIQVORVM', 'PHILOSOPHIA-An', 'International', 'journal', 'PHILOSOPHY|N/A|N/A']",Sciendo,30
CITHARA-ESSAYS IN THE JUDEO-CHRISTIAN TRADITION,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['CITHARA-ESSAYS', 'JUDEO-CHRISTIAN', 'TRADITION', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,90
Concentric-Studies in Linguistics,0.1,LANGUAGE & LINGUISTICS|N/A|N/A,"['Concentric-Studies', 'Linguistics', 'LANGUAGE', 'LINGUISTICS|N/A|N/A']",National Tsing Hua University,30
Cuestiones de Filosofia,0.1,PHILOSOPHY|N/A|N/A,"['Cuestiones', 'de', 'Filosofia', 'PHILOSOPHY|N/A|N/A']",Universidad De Antioquia,90
George Eliot-George Henry Lewes Studies,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['George', 'Eliot-George', 'Henry', 'Lewes', 'Studies', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,30
Imagologiya i Komparativistika-Imagology and Comparative Studies,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['Imagologiya', 'i', 'Komparativistika-Imagology', 'Comparative', 'Studies', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,30
Implicit Religion,0.1,RELIGION|N/A|N/A,"['Implicit', 'Religion', 'RELIGION|N/A|N/A']",Equinox Publishing Ltd.,60
Insolvency Law Journal,0.1,LAW|Q4|365/421,"['Insolvency', 'Law', 'Journal', 'LAW|Q4|365/421']",Informa Uk Limited,30
Journal of Architecture and Planning -King Saud University,0.1,URBAN STUDIES|Q4|72/77,"['Journal', 'Architecture', 'Planning', '-King', 'Saud', 'University', 'URBAN', 'STUDIES|Q4|72/77']",King Saud University,30
Journal of the International Network for Korean Language and Culture,0.1,LANGUAGE & LINGUISTICS|N/A|N/A,"['Journal', 'International', 'Network', 'Korean', 'Language', 'Culture', 'LANGUAGE', 'LINGUISTICS|N/A|N/A']",International Network For Korean Language And Culture,90
Kosciol i Prawo,0.1,RELIGION|N/A|N/A,"['Kosciol', 'i', 'Prawo', 'RELIGION|N/A|N/A']",Uniwersytet Kardynala Stefana Wyszynskiego W Warszawie,90
Lingue Antiche e Moderne,0.1,LANGUAGE & LINGUISTICS|N/A|N/A,"['Lingue', 'Antiche', 'e', 'Moderne', 'LANGUAGE', 'LINGUISTICS|N/A|N/A']",Universita Degli Studi Di Trieste,30
Loggia Arquitectura & Restauracion,0.1,ARCHITECTURE|N/A|N/A,"['Loggia', 'Arquitectura', 'Restauracion', 'ARCHITECTURE|N/A|N/A']",Universidad De Sevilla,60
Moussons-Recherche en Sciences Humaines sur l Asie du Sud-Est,0.1,ASIAN STUDIES|N/A|N/A,"['Moussons-Recherche', 'en', 'Sciences', 'Humaines', 'sur', 'l', 'Asie', 'du', 'Sud-Est', 'ASIAN', 'STUDIES|N/A|N/A']",Ecole Francaise D Extreme-Orient,60
Narrative Works-Issues Investigations & Interventions,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['Narrative', 'Works-Issues', 'Investigations', 'Interventions', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,90
New Proposals-Journal of Marxism and Interdisciplinary Inquiry,0.1,POLITICAL SCIENCE|Q4|289/317,"['New', 'Proposals-Journal', 'Marxism', 'Interdisciplinary', 'Inquiry', 'POLITICAL', 'SCIENCE|Q4|289/317']",Cuny Graduate Center,30
Polish Yearbook of International Law,0.1,LAW|Q4|365/421,"['Polish', 'Yearbook', 'International', 'Law', 'LAW|Q4|365/421']",Polish Institute Of International Affairs,90
Psychological Perspectives-A Quarterly Journal of Jungian Thought,0.1,"PSYCHOLOGY, PSYCHOANALYSIS|Q4|20/21","['Psychological', 'Perspectives-A', 'Quarterly', 'Journal', 'Jungian', 'Thought', 'PSYCHOLOGY', 'PSYCHOANALYSIS|Q4|20/21']",Psychoanalysis,21
Public and Private International Law Bulletin,0.1,LAW|Q4|365/421,"['Public', 'Private', 'International', 'Law', 'Bulletin', 'LAW|Q4|365/421']",University Of Hamburg,90
Res Publica-Revista de Filosofia Politica,0.1,PHILOSOPHY|N/A|N/A,"['Res', 'Publica-Revista', 'de', 'Filosofia', 'Politica', 'PHILOSOPHY|N/A|N/A']",Universidad De Los Andes,30
RIVISTA DI STORIA DELLA FILOSOFIA,0.1,PHILOSOPHY|N/A|N/A,"['RIVISTA', 'DI', 'STORIA', 'DELLA', 'FILOSOFIA', 'PHILOSOPHY|N/A|N/A']",Franco Angeli,60
Selcuk Universitesi Edebiyat Fakultesi Dergisi-Selcuk University Journal of Faculty of Letters,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['Selcuk', 'Universitesi', 'Edebiyat', 'Fakultesi', 'Dergisi-Selcuk', 'University', 'Journal', 'Faculty', 'Letters', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,30
Stoa,0.1,PHILOSOPHY|N/A|N/A,"['Stoa', 'PHILOSOPHY|N/A|N/A']",Universidad Nacional De Colombia,30
Transylvanian Review,0.1,HISTORY|Q3|327/518,"['Transylvanian', 'Review', 'HISTORY|Q3|327/518']",Academia Romana Filiala Cluj-Napoca,90
Vestnik of Saint Petersburg University-Law-Vestnik Sankt-Peterburgskogo Universiteta-Pravo,0.1,LAW|Q4|365/421,"['Vestnik', 'Saint', 'Petersburg', 'University-Law-Vestnik', 'Sankt-Peterburgskogo', 'Universiteta-Pravo', 'LAW|Q4|365/421']",Saint Petersburg State University,30
Vestnik Slavianskikh Kultur-Bulletin of Slavic Cultures-Scientific and Informational Journal,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['Vestnik', 'Slavianskikh', 'Kultur-Bulletin', 'Slavic', 'Cultures-Scientific', 'Informational', 'Journal', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,90
Aula Orientalis,0.1,ASIAN STUDIES|N/A|N/A,"['Aula', 'Orientalis', 'ASIAN', 'STUDIES|N/A|N/A']",Universidad De Barcelona,90
Balcanica,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['Balcanica', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,30
Ethical Perspectives,0.1,PHILOSOPHY|N/A|N/A,"['Ethical', 'Perspectives', 'PHILOSOPHY|N/A|N/A']",University Of Pretoria,30
Etica & Politica,0.1,PHILOSOPHY|N/A|N/A,"['Etica', 'Politica', 'PHILOSOPHY|N/A|N/A']",Universita Di Roma Tre,60
FILOZOFSKI VESTNIK,0.1,PHILOSOPHY|N/A|N/A,"['FILOZOFSKI', 'VESTNIK', 'PHILOSOPHY|N/A|N/A']",Zalozba Zrc,90
Historia Constitucional,0.1,HISTORY|Q3|327/518,"['Historia', 'Constitucional', 'HISTORY|Q3|327/518']",Centro De Estudios Politicos Y Constitucionales,21
Istorija,0.1,HISTORY|Q3|327/518,"['Istorija', 'HISTORY|Q3|327/518']",Institute Of History,90
Italiano LinguaDue,0.1,LANGUAGE & LINGUISTICS|N/A|N/A,"['Italiano', 'LinguaDue', 'LANGUAGE', 'LINGUISTICS|N/A|N/A']",Arcipelago Editore,30
Japan Review,0.1,ASIAN STUDIES|N/A|N/A,"['Japan', 'Review', 'ASIAN', 'STUDIES|N/A|N/A']",International Research Center For Japanese Studies,30
JIRSS-Journal of the Iranian Statistical Society,0.1,STATISTICS & PROBABILITY|Q4|165/168,"['JIRSS-Journal', 'Iranian', 'Statistical', 'Society', 'STATISTICS', 'PROBABILITY|Q4|165/168']",Iranian Statistical Institute,60
LITTERATURE,0.1,LITERATURE|N/A|N/A,"['LITTERATURE', 'LITERATURE|N/A|N/A']",Larousse,30
Malaysian Journal of ELT Research,0.1,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,"['Malaysian', 'Journal', 'ELT', 'Research', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q4|699/756']",Universiti Kebangsaan Malaysia,30
Parallax,0.1,CULTURAL STUDIES|Q4|56/59,"['Parallax', 'CULTURAL', 'STUDIES|Q4|56/59']",Taylor & Francis,60
Poe Studies-History Theory Interpretation,0.1,"LITERATURE, AMERICAN|N/A|N/A","['Poe', 'Studies-History', 'Theory', 'Interpretation', 'LITERATURE', 'AMERICAN|N/A|N/A']",American,30
RAEL-Revista Electronica de Linguistica Aplicada,0.1,LINGUISTICS|Q4|278/297,"['RAEL-Revista', 'Electronica', 'de', 'Linguistica', 'Aplicada', 'LINGUISTICS|Q4|278/297']",Universidade Federal De Santa Catarina,30
Rasprave,0.1,LANGUAGE & LINGUISTICS|N/A|N/A,"['Rasprave', 'LANGUAGE', 'LINGUISTICS|N/A|N/A']",Institut Za Hrvatski Jezik I Jezikoslovlje,30
Real Analysis Exchange,0.1,MATHEMATICS|Q4|482/489,"['Real', 'Analysis', 'Exchange', 'MATHEMATICS|Q4|482/489']",Michigan State University,60
Revista de Historia-Sao Paulo,0.1,HISTORY|Q3|327/518,"['Revista', 'de', 'Historia-Sao', 'Paulo', 'HISTORY|Q3|327/518']",Universidade De Sao Paulo,30
Ricerche di Psicologia,0.1,PSYCHOLOGY|Q4|91/92,"['Ricerche', 'di', 'Psicologia', 'PSYCHOLOGY|Q4|91/92']",Il Mulino,30
ARCHIV FUR MUSIKWISSENSCHAFT,0.1,MUSIC|N/A|N/A,"['ARCHIV', 'FUR', 'MUSIKWISSENSCHAFT', 'MUSIC|N/A|N/A']",Franz Steiner Verlag,90
Artibus et Historiae,0.1,ART|N/A|N/A,"['Artibus', 'et', 'Historiae', 'ART|N/A|N/A']",Irsa S.C.,30
Bollettino Filosofico,0.1,PHILOSOPHY|N/A|N/A,"['Bollettino', 'Filosofico', 'PHILOSOPHY|N/A|N/A']",Il Melangolo,60
BOOK COLLECTOR,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['BOOK', 'COLLECTOR', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,90
BULLETIN OF THE AMERICAN SOCIETY OF PAPYROLOGISTS,0.1,ARCHAEOLOGY|N/A|N/A,"['BULLETIN', 'AMERICAN', 'SOCIETY', 'PAPYROLOGISTS', 'ARCHAEOLOGY|N/A|N/A']",American Society Of Papyrologists,30
Calle 14-Revista de investigacion en el Campo del Arte,0.1,ART|N/A|N/A,"['Calle', '14-Revista', 'de', 'investigacion', 'en', 'el', 'Campo', 'del', 'Arte', 'ART|N/A|N/A']",Universidad Distrital Francisco Jose De Caldas,30
Caracol,0.1,"LITERATURE, ROMANCE|N/A|N/A","['Caracol', 'LITERATURE', 'ROMANCE|N/A|N/A']",Romance,30
Cultura-International Journal of Philosophy of Culture and Axiology,0.1,PHILOSOPHY|N/A|N/A,"['Cultura-International', 'Journal', 'Philosophy', 'Culture', 'Axiology', 'PHILOSOPHY|N/A|N/A']",Institute Of Philosophy And Sociology Polish Academy Of Sciences,30
Estudios de Historia Moderna y Contemporanea de Mexico,0.1,HISTORY|Q3|327/518,"['Estudios', 'de', 'Historia', 'Moderna', 'y', 'Contemporanea', 'de', 'Mexico', 'HISTORY|Q3|327/518']",Universidad Nacional Autonoma De Mexico,30
Fluminensia,0.1,LANGUAGE & LINGUISTICS|N/A|N/A,"['Fluminensia', 'LANGUAGE', 'LINGUISTICS|N/A|N/A']",Sveucilista U Rijeci,30
Frontiers of Law in China,0.1,LAW|Q4|365/421,"['Frontiers', 'Law', 'China', 'LAW|Q4|365/421']",Springer,30
Hagiographica,0.1,RELIGION|N/A|N/A,"['Hagiographica', 'RELIGION|N/A|N/A']",Hagiographica,90
INDIAN JOURNAL OF HISTORY OF SCIENCE,0.1,HISTORY & PHILOSOPHY OF SCIENCE|Q4|96/104,"['INDIAN', 'JOURNAL', 'HISTORY', 'SCIENCE', 'HISTORY', 'PHILOSOPHY', 'SCIENCE|Q4|96/104']",Indian National Science Academy,90
Interdisciplinary Studies of Complex Systems,0.1,MULTIDISCIPLINARY SCIENCES|Q4|122/134,"['Interdisciplinary', 'Studies', 'Complex', 'Systems', 'MULTIDISCIPLINARY', 'SCIENCES|Q4|122/134']",National Technical University Of Ukraine Igor Sikorsky Kyiv Polytechnic Institute,90
International Journal of Child Health and Nutrition,0.1,PEDIATRICS|Q4|179/186,"['International', 'Journal', 'Child', 'Health', 'Nutrition', 'PEDIATRICS|Q4|179/186']",Science And Education Publishing Co. Ltd.,30
Japanese Studies in Russia,0.1,AREA STUDIES|Q4|154/176,"['Japanese', 'Studies', 'Russia', 'AREA', 'STUDIES|Q4|154/176']",Russian Academy Of Sciences,60
Journal of Indian Council of Philosophical Research,0.1,PHILOSOPHY|N/A|N/A,"['Journal', 'Indian', 'Council', 'Philosophical', 'Research', 'PHILOSOPHY|N/A|N/A']",Sage Publications,90
Koot-Revista de Museologia,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['Koot-Revista', 'de', 'Museologia', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,90
MASSACHUSETTS REVIEW,0.1,LITERARY REVIEWS|N/A|N/A,"['MASSACHUSETTS', 'REVIEW', 'LITERARY', 'REVIEWS|N/A|N/A']",Massachusetts Review Inc.,90
Revista Brasileira de Educacao do Campo-Brazilian Journal of Rural Education,0.1,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,"['Revista', 'Brasileira', 'de', 'Educacao', 'Campo-Brazilian', 'Journal', 'Rural', 'Education', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q4|699/756']",Universidade Federal De Pernambuco,30
Revista Ibero-Americana de Estudos em Educacao,0.1,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,"['Revista', 'Ibero-Americana', 'de', 'Estudos', 'em', 'Educacao', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q4|699/756']",Universidade Federal De Santa Catarina,30
South Central Review,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['South', 'Central', 'Review', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,30
Tradition-A Journal of Orthodox Jewish Thought,0.1,RELIGION|N/A|N/A,"['Tradition-A', 'Journal', 'Orthodox', 'Jewish', 'Thought', 'RELIGION|N/A|N/A']",Rabbinical Council Of America,90
Transplant Research and Risk Management,0.1,TRANSPLANTATION|Q4|31/31,"['Transplant', 'Research', 'Risk', 'Management', 'TRANSPLANTATION|Q4|31/31']",Dove Medical Press,32
YALE REVIEW,0.1,LITERARY REVIEWS|N/A|N/A,"['YALE', 'REVIEW', 'LITERARY', 'REVIEWS|N/A|N/A']",Yale University Press,90
Alpha-Revista de Artes Letras y Filosofia,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['Alpha-Revista', 'de', 'Artes', 'Letras', 'y', 'Filosofia', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,90
Bajo Palabra-Journal of Philosophy,0.1,PHILOSOPHY|N/A|N/A,"['Bajo', 'Palabra-Journal', 'Philosophy', 'PHILOSOPHY|N/A|N/A']",Universidad Autonoma Del Estado De Mexico,60
Bogoslovska Smotra-Ephemerides Theologicae Zagrabienses,0.1,RELIGION|N/A|N/A,"['Bogoslovska', 'Smotra-Ephemerides', 'Theologicae', 'Zagrabienses', 'RELIGION|N/A|N/A']",Catholic Faculty Of Theology University Of Zagreb,30
Boletim de Estudos Classicos,0.1,CLASSICS|N/A|N/A,"['Boletim', 'de', 'Estudos', 'Classicos', 'CLASSICS|N/A|N/A']",Universidade De Coimbra,90
Cahiers de Narratologie,0.1,LITERATURE|N/A|N/A,"['Cahiers', 'de', 'Narratologie', 'LITERATURE|N/A|N/A']",Presses Universitaires De Paris-Sorbonne,90
Cahiers Mondes Anciens,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['Cahiers', 'Mondes', 'Anciens', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,30
ETUDES LITTERAIRES,0.1,"LITERATURE, ROMANCE|N/A|N/A","['ETUDES', 'LITTERAIRES', 'LITERATURE', 'ROMANCE|N/A|N/A']",Romance,90
Itineraria,0.1,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A","['Itineraria', 'HUMANITIES', 'MULTIDISCIPLINARY|N/A|N/A']",Multidisciplinary,30
JAHRBUCHER FUR GESCHICHTE OSTEUROPAS,0.1,HISTORY|Q3|327/518,"['JAHRBUCHER', 'FUR', 'GESCHICHTE', 'OSTEUROPAS', 'HISTORY|Q3|327/518']",Franz Steiner Verlag,90
Linguistica Pragensia,0.1,LANGUAGE & LINGUISTICS|N/A|N/A,"['Linguistica', 'Pragensia', 'LANGUAGE', 'LINGUISTICS|N/A|N/A']",Academy Of Sciences Of The Czech Republic,30
Mediterranea-Ricerche Storiche,0.1,HISTORY|Q3|327/518,"['Mediterranea-Ricerche', 'Storiche', 'HISTORY|Q3|327/518']",Universita Ca Foscari Venezia,30
NEW ZEALAND JOURNAL OF PSYCHOLOGY,0.1,"PSYCHOLOGY, MULTIDISCIPLINARY|Q4|212/218","['NEW', 'ZEALAND', 'JOURNAL', 'PSYCHOLOGY', 'PSYCHOLOGY', 'MULTIDISCIPLINARY|Q4|212/218']",Multidisciplinary,60
Origini,0.1,ARCHAEOLOGY|N/A|N/A,"['Origini', 'ARCHAEOLOGY|N/A|N/A']",Sapienza University Of Rome,90
Patrimonio e Memoria,0.1,HISTORY|Q3|327/518,"['Patrimonio', 'e', 'Memoria', 'HISTORY|Q3|327/518']",Franco Angeli,90
Phainomena,0.1,PHILOSOPHY|N/A|N/A,"['Phainomena', 'PHILOSOPHY|N/A|N/A']",Universidade Federal De Santa Catarina,90
Razon Historica-Revista Hispanoamericana de Historia de las Ideas,0.1,HISTORY|Q3|327/518,"['Razon', 'Historica-Revista', 'Hispanoamericana', 'de', 'Historia', 'de', 'las', 'Ideas', 'HISTORY|Q3|327/518']",Universidad Complutense De Madrid,90
Revista de Derecho Civil,0.1,LAW|Q4|365/421,"['Revista', 'de', 'Derecho', 'Civil', 'LAW|Q4|365/421']",Universidad De Los Andes,30
Revista do Curso de Direito do UNIFOR,0.1,LAW|Q4|365/421,"['Revista', 'Curso', 'de', 'Direito', 'UNIFOR', 'LAW|Q4|365/421']",Universidade De Fortaleza,90
